Stop_Words,Pre-Processing,N_Grams,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,Stemming,"(1, 2)",2000,LogReg,0.8609271523178808,0.871580007294293,0.7957838025050181,0.8257280536350304
Not Removed,Stemming,"(1, 3)",2000,LogReg,0.8587196467991169,0.8788434888850624,0.7928270175494022,0.825637109360131
Not Removed,None,"(1, 3)",2000,LogReg,0.8565121412803532,0.8835021972538661,0.7866428672974554,0.8219786111839613
Not Removed,Lemmatizing,"(1, 2)",4000,LogReg,0.8565121412803532,0.8724336339409016,0.7854909263442286,0.8188559154837757
Not Removed,Lemmatizing,"(1, 3)",2000,LogReg,0.8520971302428256,0.876201477325497,0.7825408693322196,0.8166284421694406
Not Removed,Lemmatizing,"(1, 2)",2000,LogReg,0.8543046357615894,0.8595609926667948,0.7871773000352777,0.8157576431444692
Not Removed,None,"(1, 2)",2000,LogReg,0.8520971302428256,0.8648930325617247,0.7825408693322196,0.8138560580107344
Not Removed,Lemmatizing,"(1, 1)",1000,SVM,0.8498896247240618,0.8415571614781242,0.7881142393123691,0.8097634974849225
Not Removed,Stemming,"(1, 2)",2000,SVM,0.8520971302428256,0.8673107690610173,0.774802271587777,0.8094851140878087
Not Removed,Lemmatizing,"(1, 1)",1000,LogReg,0.847682119205298,0.8323339759029368,0.7898006130034183,0.8081582257894787
Not Removed,Stemming,"(1, 1)",2000,LogReg,0.8498896247240618,0.8387408696687046,0.7864345935649267,0.8081015820366358
Not Removed,None,"(1, 2)",4000,LogReg,0.8498896247240618,0.8679879374025358,0.771977412830715,0.8076848971796067
Not Removed,Lemmatizing,"(1, 3)",2000,SVM,0.8498896247240618,0.8753784087117421,0.7728655013868339,0.8074132910273875
Not Removed,Stemming,"(1, 1)",2000,SVM,0.8454746136865342,0.8204362426943073,0.798337495882791,0.8073094501229058
Not Removed,Stemming,"(1, 2)",4000,LogReg,0.847682119205298,0.861172852149389,0.7739276389188721,0.8071408102358627
Not Removed,Stemming,"(1, 3)",4000,LogReg,0.847682119205298,0.8766835016835017,0.7673409821276566,0.8061820728839942
Not Removed,None,"(1, 2)",2000,SVM,0.8498896247240618,0.8784919913203231,0.766806549389834,0.8059289264423294
Not Removed,Lemmatizing,"(1, 1)",2000,LogReg,0.8454746136865342,0.8256228578809224,0.7899392671455793,0.8055960677046748
Not Removed,Lemmatizing,"(1, 1)",2000,SVM,0.8454746136865342,0.8252402443891805,0.7900711933441332,0.8055172327005442
Not Removed,Stemming,"(1, 1)",1000,LogReg,0.8454746136865342,0.8284860366171046,0.7854280346974677,0.8038395261051274
Not Removed,Lemmatizing,"(1, 3)",4000,LogReg,0.847682119205298,0.8594282632146709,0.768756775477991,0.8020159263043514
Not Removed,Lemmatizing,"(1, 2)",2000,SVM,0.8410596026490066,0.8690197372038044,0.7649253578534699,0.8015939388751822
