Stop_Words,Pre-Processing,Model,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,None,Dist. Memory,300,SVM,0.7064017660044151,0.6183650990571564,0.6122016230140134,0.6057538636610856
Not Removed,None,Dist. Memory,600,SVM,0.6975717439293598,0.6231179988050038,0.6143393539653038,0.5902025361392923
Not Removed,Lemmatizing,Dist. Memory,300,SVM,0.6931567328918322,0.603528494240256,0.6017072010643022,0.5901057791537668
Not Removed,None,Dist. Memory,900,SVM,0.695364238410596,0.617752715121136,0.6098348494607992,0.5868044944796892
Not Removed,Lemmatizing,Dist. Memory,600,SVM,0.695364238410596,0.6233997475658132,0.6150057129016802,0.5818802781917536
Not Removed,Stemming,Dist. Memory,900,SVM,0.6777041942604857,0.5749394403008861,0.5715914628831051,0.5670901238214799
Not Removed,Lemmatizing,Dist. Memory,900,SVM,0.6843267108167771,0.6168610708040332,0.6024291386652578,0.562993649575928
Not Removed,Stemming,Dist. Memory,300,SVM,0.6710816777041942,0.5712279900705713,0.5677600452585841,0.562583886031277
Not Removed,Stemming,Dist. Memory,600,SVM,0.6644591611479028,0.5559508078290206,0.5528307383947361,0.5477794878451298
Removed,Stemming,Dist. Memory,600,RandFrst,0.6909492273730684,0.5982681784847972,0.537790859240304,0.542471839632083
Removed,Lemmatizing,Dist. Memory,300,RandFrst,0.695364238410596,0.6304358326777902,0.5326065399122091,0.5423405959897588
Removed,Lemmatizing,Dist. Memory,600,RandFrst,0.6931567328918322,0.6147889597737621,0.5313294007040353,0.5399225779451767
Not Removed,None,Dist. Memory,300,RandFrst,0.7064017660044151,0.5748473748473748,0.5382006787617543,0.5288648682583165
Removed,None,Dist. Memory,900,RandFrst,0.6754966887417219,0.5925267154204628,0.5168649069876422,0.528514708063911
Not Removed,Lemmatizing,Dist. Memory,900,RandFrst,0.6865342163355408,0.6072689920447591,0.5286499240327411,0.5273968645608128
Not Removed,None,Dist. Memory,900,RandFrst,0.6975717439293598,0.5936132412262768,0.528580889480948,0.5235216048351292
Removed,Stemming,Dist. Memory,900,RandFrst,0.6799116997792495,0.5933690422871533,0.5203072739601086,0.5226395977653424
Removed,Lemmatizing,Dist. Memory,900,RandFrst,0.6843267108167771,0.5756475429678044,0.5182183937297906,0.5209069624911209
Removed,None,Dist. Memory,600,RandFrst,0.6688741721854304,0.5927198992046617,0.5067106849690134,0.5180518330740597
Not Removed,None,Dist. Memory,600,RandFrst,0.6909492273730684,0.5643892339544514,0.5232017523075384,0.5176407201746236
Not Removed,Lemmatizing,DBOW,300,RandFrst,0.6710816777041942,0.6159463546641197,0.503080813133414,0.5145128095947769
