Stop_Words,Pre-Processing,Model,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,Stemming,SkipGram,900,SVM,0.7019867549668874,0.6129625522920911,0.5950582376649004,0.5941186258427523
Not Removed,None,SkipGram,900,SVM,0.6975717439293598,0.6014157014157014,0.5812741438106722,0.5842399966789138
Not Removed,Stemming,SkipGram,300,SVM,0.6975717439293598,0.6490433132403359,0.5983344536822035,0.5784765915943212
Not Removed,None,SkipGram,600,SVM,0.695364238410596,0.6122600898570022,0.5822043551441564,0.5765829954794975
Not Removed,Stemming,SkipGram,600,SVM,0.6909492273730684,0.6278140385283243,0.587916379266467,0.5732371743186738
Removed,None,SkipGram,300,SVM,0.6799116997792495,0.5888289902584126,0.5662819453000633,0.5708784853975092
Removed,Stemming,SkipGram,300,SVM,0.673289183222958,0.614340073929115,0.5806627785003005,0.5707473410630529
Not Removed,Stemming,SkipGram,600,RandFrst,0.7108167770419426,0.61991321592664,0.5634784404509712,0.5695689025072556
Not Removed,Lemmatizing,SkipGram,900,RandFrst,0.7218543046357616,0.676363595071822,0.566372918798401,0.5690400832826791
Not Removed,Lemmatizing,SkipGram,300,SVM,0.6887417218543046,0.5987272354027977,0.5719182069269738,0.5667684218072894
Removed,Lemmatizing,SkipGram,300,SVM,0.6777041942604857,0.6042311904380869,0.5703075957313245,0.5641993192895529
Removed,Stemming,SkipGram,600,SVM,0.673289183222958,0.6071565326467288,0.5761515460521889,0.5613930157506962
Not Removed,Stemming,CBOW,900,SVM,0.673289183222958,0.5813296903460837,0.5512207122376614,0.5599360909268881
Not Removed,Lemmatizing,SkipGram,600,SVM,0.6821192052980133,0.5997540280375965,0.5715780069958912,0.5587017479912647
Not Removed,Lemmatizing,SkipGram,600,RandFrst,0.7130242825607064,0.6324022128720586,0.5550734837701524,0.5574677774047131
Not Removed,Stemming,SkipGram,900,RandFrst,0.7041942604856513,0.6037583393865744,0.5517764988834539,0.5566719343241135
Removed,None,SkipGram,600,SVM,0.6688741721854304,0.5693211353299072,0.553705371063641,0.5550602802215705
Not Removed,Lemmatizing,SkipGram,900,SVM,0.6821192052980133,0.5902812130579203,0.566802922150672,0.5538257091745463
Not Removed,Lemmatizing,CBOW,600,RandFrst,0.6909492273730684,0.6016827542909674,0.5411501507351887,0.5506331534804731
